Division	Region
HS Cambridgeshire	Cambridge
HS Cambridgeshire	Ely
HS Cambridgeshire	Huntingdon
HS Cambridgeshire	March
HS Cambridgeshire	Whittlesford
HS Devon	Avocet Road
HS Devon	Copstone
HS Devon	Crediton
HS Devon	Dolton
HS Devon	Heron Road
HS Devon	Honiton
HS Devon	Ivybridge
HS Devon	Kingsteignton
HS Devon	Merton
HS Devon	Okehampton
HS Devon	Parracombe
HS Devon	Rydon
HS Devon	South Molton
HS Devon	Tavistock
HS Devon	Tiverton
HS Devon	Torre
HS Devon	Torrington
HS Hampshire	Andover
HS Hampshire	Bishops Waltham
HS Hampshire	Broadmarsh
HS Hampshire	Hook
HS Hampshire	Petersfield
HS Hampshire	Totton
HS Hinkley Point	Hinkley Point
HS North Somerset	Sandford
HS Oxfordshire	Deddington
HS Oxfordshire	Drayton
HS Oxfordshire	Milton Common
HS Oxfordshire	Woodcote
HS Peterborough	Peterborough
HS Somerset	Dunball
HS Somerset	Exford
HS Somerset	Frome
HS Somerset	Glastonbury
HS Somerset	Minehead
HS Somerset	Priorswood
HS Somerset	Taunton
HS Somerset	Yeovil
IS Street Lighting Gloucester	Gloucester
IS Street Lighting Merrow External	Merrow External
IS Street Lighting Merrow O&M	Merrow O&M
IS Street Lighting Redbridge	Redbridge
IS Street Lighting South Croydon	South Croydon
IS Projects	M25
IS Projects	M27 - Junction 9
IS Projects	Oxford
HS Cambridgeshire	HS Cambridgeshire
HS Devon	Rydon Quarry
HS Devon	Torr
HS Hampshire	HS Hampshire
HS Hinkley Point	HS Hinkley Point
HS North Somerset	HS North Somerset
HS Somerset	HS Somerset
IS Central Finance	IS Central Finance
IS Central Management	IS Central Management
IS Central Procurement	IS Central Procurement
IS Commercial Overhead	IS Commercial Overhead
IS H&S	IS H&S
IS Highways Services - Central Services	IS Highways Services - Central Services
IS Highways Services - EDSO	Ipswich
IS Highways Services - EDSO	IS Highways Services - EDSO
IS HR	IS HR
IS IT	IS IT
IS Street Lighting	IS Street Lighting
IS Training Academy	IS Training Academy
IS Projects	A35 Redbridge Hampshire
IS Projects	IS Projects
IS Projects	Weston-Super-Mare
HS Devon	HS Devon
HS Oxfordshire	HS Oxfordshire
HS Peterborough	HS Peterborough